#n,m,mnU,localU,mnTime,localTime
2,4,0.4433976553222196,0.32621808364905114,5.57,2.09
2,5,0.436421979601289,0.40777921172744347,2.81,1.37
2,6,0.44945000159344667,0.36314671333400156,2.74,1.72
2,7,0.45216621677662566,0.394518526527078,2.17,1.9
2,8,0.46182588172846484,0.37846194815085454,1.93,2.51
2,9,0.4536383472310337,0.3899340526566346,1.9,2.71
2,10,0.4564424260648437,0.37103335999136144,1.88,4.83
2,11,0.4537347010697399,0.3712403004401179,1.64,5.03
2,12,0.4549355858464472,0.3666434307697513,1.67,7.93
2,13,0.45386066519419654,0.3666072574186316,1.6,7.37
2,14,0.46299463934653917,0.3571360584632237,1.51,10.71
2,15,0.4542801513381349,0.3627687717025792,1.36,9.26
2,16,0.4555584342294183,0.349397952512876,1.81,16.32
2,17,0.4541869848630044,0.35869479096042356,1.45,10.6
2,18,0.45658164974826954,0.33378533277429334,1.84,18.24
2,19,0.4504889120505179,0.34921243850214273,1.64,16.12
2,20,0.45251469412560913,0.33823705434335577,1.94,23.48
3,6,0.39546391208828313,0.3113381861826414,0.85,1.06
3,7,0.40750003373095034,0.3367545820908193,0.47,1.27
3,8,0.3930091991944832,0.3393528510634352,0.73,1.58
3,9,0.39338155025281707,0.33839966745431527,0.94,1.93
3,10,0.41593084459726115,0.33537024611915855,0.97,2.6
3,11,0.3978115572374727,0.3332336728773255,0.93,3.16
3,12,0.4002036882197897,0.3362052819927811,1.04,4.17
3,13,0.4129227913729625,0.3309521004126497,0.73,3.86
3,14,0.4090846182246182,0.3331126652747616,1.02,5.54
3,15,0.3984434743631092,0.3273443045558551,1.29,7.83
3,16,0.4019943256070187,0.31910527714884107,1.17,8.32
3,17,0.3997516219015245,0.31944350057309184,1.32,11.76
3,18,0.3961444125680041,0.3230522687791167,1.5,15.9
3,19,0.4051565518105018,0.31575702480669815,1.24,14.41
3,20,0.4003384024311616,0.3239746511002356,1.45,19.62
3,21,0.39549006250119695,0.31332853806535665,1.54,25.25
3,22,0.40403740582486625,0.3105094717046857,1.31,22.01
3,23,0.39921904555435134,0.31066591514896236,1.61,27.84
3,24,0.39783906053405443,0.31205576542774166,1.87,51.77
3,25,0.40213813380466695,0.3132209112203434,1.72,36.71
3,26,0.40659790792374007,0.31065967887320955,1.74,44.49
